# mypy baseline — generated by scripts/mypy_baseline.py
# Format: <path>|<error-code>|<message>
# Checked by .github/workflows/quality_gates.yml. Refresh with:
#   python scripts/mypy_baseline.py --update
api/ai_advanced_router.py|dict-item|Dict entry 0 has incompatible type "str": "list[dict[str, Any]]"; expected "str": "list[PatternResponse]"
api/ai_advanced_router.py|dict-item|Dict entry 0 has incompatible type "str": "list[dict[str, Column[Any] | Column[str] | Any | str]]"; expected "str": "list[RetrieverConfigResponse]"
api/ai_advanced_router.py|dict-item|Dict entry 0 has incompatible type "str": "list[dict[str, Column[int] | Column[str] | Any | str]]"; expected "str": "list[FeedbackResponse]"
api/ai_advanced_router.py|dict-item|Dict entry 1 has incompatible type "str": "int"; expected "str": "list[dict[str, Any]]"
api/ai_advanced_router.py|dict-item|Dict entry 2 has incompatible type "str": "int"; expected "str": "list[dict[str, Any]]"
api/ai_advanced_router.py|dict-item|Dict entry 3 has incompatible type "str": "int"; expected "str": "list[dict[str, Any]]"
api/ai_advanced_router.py|misc|Incompatible types in "await" (actual type "list[dict[str, Any]]", expected type "Awaitable[Any]")
api/ai_advanced_router.py|misc|Key expression in dictionary comprehension has incompatible type "Column[str]"; expected type "str"
api/ai_advanced_router.py|name-defined|Name "AIFusionConfigDB" is not defined
api/ai_advanced_router.py|no-any-return|Returning Any from function declared to return "User | None"
api/ai_advanced_router.py|no-redef|Name "get_cross_layer_traces" already defined on line 2186
api/ai_advanced_router.py|no-redef|Name "get_current_user_optional" already defined on line 88
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "AdvancedFeatureResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "CostSuggestionResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "DeepLearningModelResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "FeedbackResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "FusionConfigResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "LoadBalancerConfigResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "PatternResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Any]", expected "RoutingRuleResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Column[Any] | Column[str] | Any | str]", expected "RetrieverConfigResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Column[bool] | Column[int] | Column[str] | str | Column[Any] | list[Never] | Any]", expected "CrossLayerTrackingConfigResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Column[int] | Column[str] | Any | str]", expected "FeedbackResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, Column[str] | Column[Any] | dict[Never, Never] | Any | str]", expected "GraphEdgeResponse")
api/ai_advanced_router.py|return-value|Incompatible return value type (got "dict[str, object]", expected "CrossLayerTrackingConfigListResponse")
api/ai_advanced_router.py|var-annotated|Need type annotation for "details"
api/ai_advanced_router.py|var-annotated|Need type annotation for "edge_data"
api/ai_advanced_router.py|var-annotated|Need type annotation for "items" (hint: "items: list[<type>] = ...")
api/ai_advanced_router.py|var-annotated|Need type annotation for "metrics"
api/ai_advanced_router.py|var-annotated|Need type annotation for "node_data"
api/ai_advanced_router.py|var-annotated|Need type annotation for "nodes_data" (hint: "nodes_data: list[<type>] = ...")
api/ai_advanced_router.py|var-annotated|Need type annotation for "pattern_data"
api/ai_router.py|no-any-return|Returning Any from function declared to return "dict[str, Any]"
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "Column[Any]", variable has type "dict[Any, Any]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "bool", variable has type "Column[bool]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, Any]", variable has type "Column[Any]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, object]", variable has type "Column[Any]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, str]", variable has type "Column[Any]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "int", variable has type "Column[int]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "list[dict[str, Any]]", variable has type "Column[Any]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "list[dict[str, str]]", variable has type "Column[Any]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "list[str]", variable has type "Column[Any]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "str | None", variable has type "Column[str]")
api/alerts_advanced_router.py|assignment|Incompatible types in assignment (expression has type "str", variable has type "Column[str]")
api/alerts_advanced_router.py|index|Value of type "Collection[str]" is not indexable
api/alerts_advanced_router.py|no-redef|Name "AlertRule" already defined (possibly by an import)
api/alerts_advanced_router.py|no-redef|Name "NotificationChannel" already defined (possibly by an import)
api/alerts_advanced_router.py|var-annotated|Need type annotation for "_acknowledgements" (hint: "_acknowledgements: list[<type>] = ...")
api/alerts_advanced_router.py|var-annotated|Need type annotation for "_intelligent_analyses" (hint: "_intelligent_analyses: list[<type>] = ...")
api/alerts_advanced_router.py|var-annotated|Need type annotation for "config"
api/alerts_advanced_router.py|var-annotated|Need type annotation for "config" (hint: "config: dict[<type>, <type>] = ...")
api/approvals_router.py|misc|All conditional function variants must have identical signatures
api/approvals_router.py|truthy-function|Function "get_current_active_user" could always be true in boolean context
api/assets_advanced_router.py|arg-type|Argument "asset_id" to "AssetDependency" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|arg-type|Argument "asset_id" to "AssetLifecycle" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|arg-type|Argument "asset_name" to "AssetDependency" has incompatible type "Column[str]"; expected "str"
api/assets_advanced_router.py|arg-type|Argument "business_unit" to "AssetInventoryResponse" has incompatible type "Column[str]"; expected "str | None"
api/assets_advanced_router.py|arg-type|Argument "created_at" to "AssetInventoryResponse" has incompatible type "Column[datetime]"; expected "datetime | None"
api/assets_advanced_router.py|arg-type|Argument "criticality" to "AssetDependency" has incompatible type "Column[str]"; expected "str"
api/assets_advanced_router.py|arg-type|Argument "dependency_type" to "AssetDependency" has incompatible type "Column[str]"; expected "str"
api/assets_advanced_router.py|arg-type|Argument "env" to "AssetInventoryResponse" has incompatible type "Column[str]"; expected "str | None"
api/assets_advanced_router.py|arg-type|Argument "estimated_end_date" to "AssetLifecycle" has incompatible type "Column[datetime]"; expected "datetime | None"
api/assets_advanced_router.py|arg-type|Argument "id" to "AssetInventoryResponse" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|arg-type|Argument "name" to "AssetInventoryResponse" has incompatible type "Column[str]"; expected "str"
api/assets_advanced_router.py|arg-type|Argument "owner" to "AssetInventoryResponse" has incompatible type "Column[str]"; expected "str | None"
api/assets_advanced_router.py|arg-type|Argument "service" to "AssetInventoryResponse" has incompatible type "Column[str]"; expected "str | None"
api/assets_advanced_router.py|arg-type|Argument "source_id" to "AssetRelationship" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|arg-type|Argument "stage_start_date" to "AssetLifecycle" has incompatible type "Column[datetime]"; expected "datetime"
api/assets_advanced_router.py|arg-type|Argument "target_id" to "AssetRelationship" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|arg-type|Argument 1 to "_get_inventory_metadata" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|arg-type|Argument 1 to "_set_asset_dependency" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|arg-type|Argument 1 to "_set_inventory_metadata" has incompatible type "Column[int]"; expected "int"
api/assets_advanced_router.py|assignment|Incompatible types in assignment (expression has type "Any | None", variable has type "Column[str]")
api/assets_advanced_router.py|assignment|Incompatible types in assignment (expression has type "datetime | None", variable has type "Column[datetime]")
api/assets_advanced_router.py|assignment|Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")
api/assets_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, Any]", variable has type "Column[Any]")
api/assets_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, object]", variable has type "Column[Any]")
api/assets_advanced_router.py|assignment|Incompatible types in assignment (expression has type "str", variable has type "Column[str]")
api/assets_advanced_router.py|attr-defined|"type[LifecycleStage]" has no attribute "PROVISIONING"
api/assets_advanced_router.py|index|Invalid index type "Column[int]" for "dict[int, AssetDependency]"; expected type "int"
api/assets_advanced_router.py|index|Invalid index type "Column[int]" for "dict[int, AssetLifecycle]"; expected type "int"
api/assets_advanced_router.py|misc|Key expression in dictionary comprehension has incompatible type "Column[int]"; expected type "int"
api/assets_advanced_router.py|return-value|Incompatible return value type (got "Column[Any]", expected "dict[str, Any]")
api/auth_router.py|arg-type|Argument "created_at" to "_UserOut" has incompatible type "Column[datetime]"; expected "datetime | None"
api/auth_router.py|arg-type|Argument "id" to "_UserOut" has incompatible type "Column[int]"; expected "int"
api/auth_router.py|arg-type|Argument "role" to "_UserOut" has incompatible type "Column[str]"; expected "str"
api/auth_router.py|arg-type|Argument "username" to "_UserOut" has incompatible type "Column[str]"; expected "str"
api/auth_router.py|arg-type|Argument 2 to "verify_password" has incompatible type "Column[str]"; expected "str"
api/auth_router.py|assignment|Incompatible types in assignment (expression has type "str", variable has type "Column[str]")
api/auth_router.py|attr-defined|"Callable[[_LoginRequest, Session], _UserOut]" has no attribute "__public__"
api/autoheal_router.py|call-overload|No overload variant of "Field" matches argument types "EllipsisType", "int", "int", "str"
api/autoheal_router.py|call-overload|No overload variant of "Field" matches argument types "EllipsisType", "int", "str"
api/autoheal_router.py|call-overload|Unexpected keyword argument "min_items" for overloaded function "Field"
api/autoheal_router.py|call-overload|Unexpected keyword arguments "min_items", "max_items" for overloaded function "Field"
api/autoheal_router.py|no-any-return|Returning Any from function declared to return "dict[Any, Any]"
